title,runtime,rating,profit
Isn't It Romantic,89,5.9,$48.79M
Russian Doll,30,8.0,"40,510"
Life in Pieces,22,8.0,"10,510"
Castle,43,8.1,"133,037"
The Angry Birds Movie 2,,,
Ghostbusters,105,7.8,$238.63M
Young Sheldon,30,7.3,"24,053"
Cheers,22,7.9,"43,001"
The Ranch,30,7.6,"26,833"
The Goldbergs,22,8.1,"26,720"
Imposters,41,7.8,"8,186"
Desperate Housewives,45,7.5,"107,378"
Blended,117,6.5,$46.29M
The Detour,30,7.8,"4,962"
The Hustle,93,5.3,$35.16M
Tag,100,6.5,$54.55M
Good Boys,89,6.1,288
Santa Clarita Diet,30,7.9,"47,543"
The King's Man,,,
About Time,123,7.8,$15.32M
The Blues Brothers,133,7.9,$57.23M
The Sandlot,101,7.8,$32.42M
Mean Girls,97,7.0,$86.06M
The Professor,90,6.7,"6,854"
Snatch,104,8.3,$30.33M
Chuck,43,8.2,"120,973"
Scrubs,22,8.4,"224,344"
Grace and Frankie,30,8.3,"29,602"
Pitch Perfect,112,7.2,$65.00M
A Simple Favor,117,6.9,$53.54M
Bill & Ted's Excellent Adventure,90,6.9,$40.49M
Back to the Future,116,8.5,$210.61M
What We Do in the Shadows,86,7.7,$3.33M
Kingsman: The Golden Circle,141,6.8,$100.23M
Sing,108,7.1,$270.40M
Last Man Standing,30,7.6,"26,045"
Bob's Burgers,22,8.1,"56,488"
M*A*S*H,25,8.4,"46,865"
Girlfriends' Guide to Divorce,60,6.9,"3,425"
Ghostbusters,116,5.2,$128.34M
Stockholm,92,6.2,$0.27M
Californication,28,8.3,"164,057"
Ballers,30,7.6,"32,651"
Coco,105,8.4,$209.73M
Historical Roasts,30,5.3,"1,183"
Top Gear,60,8.7,"101,254"
Superstore,22,7.8,"16,110"
Monk,44,8.0,"59,318"
Wreck-It Ralph,101,7.7,$189.42M
Documentary Now!,23,8.1,"4,150"
Ant-Man and the Wasp,118,7.1,$216.65M
Dodgeball: A True Underdog Story,92,6.7,$114.33M
The Ballad of Buster Scruggs,133,7.3,"88,692"
Sex and the City,30,7.1,"96,388"
A Dog's Journey,109,7.3,$22.17M
Big Mouth,30,8.1,"36,567"
Curb Your Enthusiasm,28,8.7,"85,970"
Someone Great,92,6.2,"9,928"
The End of the F***ing World,25,8.1,"93,815"
Parenthood,60,8.2,"28,253"
Entourage,28,8.5,"152,180"
The O.C.,44,7.5,"75,517"
Airplane!,88,7.8,$83.40M
Frozen,102,7.5,$400.74M
American Dad!,22,7.4,"107,176"
The Art of Racing in the Rain,,,
Hercules,93,7.3,$99.05M
Mom,30,7.2,"24,203"
The Kissing Booth,105,6.1,"44,900"
Married with Children,22,8.1,"89,940"
American Pie,95,7.0,$102.56M
Sixteen Candles,93,7.1,$23.69M
In the Dark,42,6.9,"1,272"
The Hangover,100,7.7,$277.32M
The Babysitter,85,6.3,"46,723"
The Golden Girls,30,7.9,"27,807"
Moana,107,7.6,$248.76M
Mid90s,85,7.4,$7.36M
Charlie and the Chocolate Factory,115,6.6,$206.46M
Home Improvement,22,7.2,"36,635"
Game Night,100,7.0,$69.00M
The Tick,29,7.4,"12,531"
Lethal Weapon,44,8.0,"32,412"
The Morning Show,,,
Finding Nemo,100,8.1,$380.84M
Deep Murder,95,3.9,193
Spaceballs,96,7.1,$38.12M
The Queen's Corgi,85,4.9,"1,433"
Ratatouille,111,8.0,$206.45M
What a Girl Wants,105,5.9,$35.99M
The Big Lebowski,117,8.1,$17.50M
What Men Want,117,4.9,$54.61M
Drunk History,22,7.8,"7,627"
The Art of Self-Defense,104,7.2,239
Beetlejuice,92,7.5,$73.71M
The IT Crowd,25,8.5,"118,493"
Blockers,102,6.2,$59.84M
Catch-22,122,7.2,$24.91M
Cult of Chucky,91,5.2,"17,287"
Love Actually,135,7.6,$59.70M
A Series of Unfortunate Events,50,7.8,"47,166"
Onward,,,
This Is 40,134,6.2,$67.54M
The Big Short,130,7.8,$70.26M
Fresh Off the Boat,22,7.9,"19,571"
Weeds,28,8.0,"97,435"
Smallfoot,96,6.7,$83.24M
The Andy Griffith Show,30,8.3,"10,711"
The Addams Family,,,
Six Feet Under,55,8.7,"111,060"
Zombieland,88,7.6,$75.59M
The Grand Budapest Hotel,99,8.1,$59.10M
Mary Poppins,139,7.8,$102.27M
Gavin & Stacey,29,8.0,"13,200"
Untitled Jumanji: Welcome to the Jungle Sequel,,,
The Spy Who Dumped Me,117,6.0,$33.56M
Night School,111,5.6,$77.34M
Dazed and Confused,102,7.7,$7.99M
Slaughterhouse Rulez,104,5.3,$0.00M
30 Rock,22,8.2,"104,313"
Space Jam 2,,,
Lady Bird,94,7.4,$48.96M
Baskets,30,7.5,"8,836"
Police Academy,96,6.7,$81.20M
Will & Grace,22,7.3,"47,388"
After Life,30,8.5,"38,190"
Whiskey Cavalier,60,7.1,"6,168"
Office Space,89,7.8,$10.82M
Changeland,86,5.5,375
The Last Summer,109,5.6,"6,270"
Wedding Crashers,119,7.0,$209.22M
The Breakfast Club,97,7.9,$45.88M
The Perfect Date,89,5.9,"20,269"
Inside Out,95,8.2,$356.46M
Ferris Bueller's Day Off,103,7.8,$70.14M
Home Again,97,5.8,$27.02M
SpongeBob SquarePants,23,8.1,"73,912"
Bull,60,6.9,"11,890"
Aggretsuko,15,8.0,"2,959"
The Girl Next Door,109,6.7,$14.59M
We're the Millers,110,7.0,$150.39M
Holmes & Watson,90,3.8,$30.57M
La La Land,128,8.0,$151.10M
Boston Legal,44,8.4,"40,280"
"Love, Simon",110,7.6,$40.83M
Black-ish,22,7.1,"16,944"
Mamma Mia!,108,6.4,$144.13M
Ant-Man,117,7.3,$180.20M
American Made,115,7.2,$51.34M
Eddie the Eagle,106,7.4,$15.79M
Easy A,92,7.1,$58.40M
Hart of Dixie,60,7.7,"41,169"
Up,96,8.2,$293.00M
Superbad,113,7.6,$121.46M
Malcolm in the Middle,22,8.0,"108,830"
Batman vs Teenage Mutant Ninja Turtles,87,7.2,"3,814"
Crazy Ex-Girlfriend,42,7.8,"13,876"
"Hail, Caesar!",106,6.3,$30.08M
White Collar,40,8.3,"110,479"
The Intouchables,112,8.5,$13.18M
The Great Outdoors,91,6.6,$41.46M
Say My Name,83,5.5,135
Dead Poets Society,128,8.1,$95.86M
Gloria Bell,102,6.5,$5.61M
Hotel Transylvania 3: Summer Vacation,97,6.3,$167.51M
Girls,28,7.3,"61,189"
50/50,100,7.7,$35.01M
Boku no Hero Academia,24,8.4,"17,367"
The Witches,91,6.8,$10.36M
Christopher Robin,104,7.3,$99.22M
Futurama,22,8.5,"196,506"
Atlanta,30,8.6,"39,898"
Z Nation,44,6.7,"29,703"
Destination Wedding,87,6.0,"15,847"
Pretty Woman,119,7.0,$178.41M
Napoleon Dynamite,96,6.9,$44.54M
Life of the Party,105,5.6,$52.86M
A Madea Family Funeral,109,4.3,$73.26M
Private Eyes,43,7.4,"2,364"
Everybody Loves Raymond,22,7.1,"58,231"
Bob & Carol & Ted & Alice,105,6.7,$31.90M
Legally Blonde,96,6.3,$96.52M
Full House,22,6.7,"48,914"
Clueless,97,6.8,$56.63M
Zootopia,108,8.0,$341.27M
Bridesmaids,125,6.8,$169.11M
Mrs. Doubtfire,125,7.0,$219.20M
Waiting...,94,6.8,$16.12M
Dirty Grandpa,102,5.9,$35.54M
Kick-Ass,117,7.6,$48.07M
Captain Fantastic,118,7.9,$5.88M
Dumplin',110,6.7,"20,528"
Les frères Sisters,122,7.0,$3.14M
War Dogs,114,7.1,$43.02M
Spring Breakers,94,5.3,$14.12M
I Think You Should Leave with Tim Robinson,16,7.5,"2,559"
Trailer Park Boys,30,8.4,"33,454"
The 40 Year Old Virgin,116,7.1,$109.45M
Book Club,104,6.1,$68.57M
Heathers,103,7.3,$1.11M
Seven Brides for Seven Brothers,102,7.4,"19,539"
Bride of Chucky,89,5.4,$32.38M
Revenge of the Nerds,90,6.6,$40.90M
Ash vs Evil Dead,30,8.5,"57,341"
Welcome to Marwen,116,6.1,$10.76M
Broad City,22,8.3,"23,322"
Final Space,30,8.4,"21,313"
Bunk'd,30,5.7,"1,924"
The Fresh Prince of Bel-Air,22,7.9,"107,434"
10 Things I Hate About You,97,7.3,$38.18M
Unbreakable Kimmy Schmidt,30,7.7,"55,849"
Birdman or (The Unexpected Virtue of Ignorance),119,7.7,$42.34M
Ghostbusters II,108,6.5,$112.49M
The Banana Splits,,,
Isle of Dogs,101,7.9,$32.02M
Caddyshack,98,7.3,$39.85M
The Nanny,22,6.9,"33,925"
Luka Chuppi,126,6.4,$1.04M
Hot Fuzz,121,7.9,$23.64M
21 Jump Street,109,7.2,$138.45M
"Crazy, Stupid, Love.",118,7.4,$84.35M
Jay and Silent Bob Reboot,,,
The Middle,22,7.5,"41,340"
Adventure Time with Finn & Jake,11,8.6,"66,286"
Maniac,40,7.9,"51,093"
Blinded by the Light,117,6.1,205
The Hitman's Bodyguard,118,6.9,$75.47M
Grown Ups,102,6.0,$162.00M
Pew News,15,10.0,"4,205"
The King of Queens,22,7.3,"69,855"
"Monsters, Inc.",92,8.1,$289.92M
Overboard,112,6.0,$50.32M
Grown Ups 2,101,5.4,$133.67M
Not Another Teen Movie,89,5.7,$38.25M
Bad Boys for Life,,,
Hagane no renkinjutsushi,24,9.0,"90,690"
Così fan tutte,93,5.3,"3,229"
The Courtship of Eddie's Father,118,6.8,"2,262"
That's My Boy,116,5.6,$36.93M
Eureka,60,7.9,"44,791"
The Nice Guys,116,7.4,$36.26M
The Devil Wears Prada,109,6.9,$124.74M
The Week Of,116,5.1,"13,900"
The Voyage of Doctor Dolittle,,,
Matilda,98,6.9,$33.08M
Don't Tell Mom the Babysitter's Dead,102,6.2,$25.20M
Atypical,30,8.3,"37,530"
The Boat That Rocked,135,7.4,$7.99M
Sorry to Bother You,111,7.0,$17.49M
The Ridiculous 6,119,4.8,"38,913"
Trolls,92,6.5,$153.71M
Risky Business,99,6.8,$63.50M
Tropic Thunder,107,7.0,$110.52M
Boy Meets World,23,8.1,"36,060"
She's Gotta Have It,30,6.7,"3,248"
Weird Science,94,6.6,$23.83M
Future Man,30,7.9,"15,342"
Fuller House,30,6.9,"21,488"
RED,111,7.1,$90.38M
Assassination Nation,108,5.9,$1.96M
Shaun of the Dead,99,7.9,$13.54M
La vita è bella,116,8.6,$57.60M
The Lego Batman Movie,104,7.3,$175.75M
"I, Tonya",120,7.5,$30.01M
Workaholics,22,8.1,"42,763"
Tusk,102,5.3,$1.82M
All That,30,7.5,"6,226"
Movie 43,94,4.3,$8.83M
Stan & Ollie,98,7.3,$5.47M
The Office,30,8.5,"87,237"
The Librarians,42,7.3,"17,495"
Zeroville,96,,
The Lobster,119,7.1,$8.70M
Jumanji,104,7.0,$100.48M
Untitled Ghostbusters Project,,,
The Mask,101,6.9,$119.94M
The Do-Over,108,5.7,"33,643"
Jennifer's Body,102,5.2,$16.20M
The Lost Boys,97,7.3,$32.22M
Iron Sky: The Coming Race,90,5.0,"3,432"
Goosebumps 2: Haunted Halloween,90,5.6,$46.70M
Saturday Night Live,90,8.1,"39,319"
Big Daddy,93,6.4,$163.48M
Chopsticks,100,6.5,"2,128"
Freaks and Geeks,44,8.8,"119,334"
Second Act,103,5.8,$39.28M
Can You Ever Forgive Me?,106,7.1,$8.80M
Happy Gilmore,92,7.0,$38.62M
Gravity Falls,23,8.9,"54,011"
Crashing,30,7.7,"5,965"
Something Borrowed,112,5.9,$39.05M
Forgetting Sarah Marshall,111,7.2,$63.17M
Sabrina,113,7.7,"53,625"
Sex and the City 2,146,4.4,$95.35M
Hook,142,6.7,$119.65M
Leprechaun Returns,86,5.2,"1,606"
White Chicks,109,5.6,$70.83M
Mike and Dave Need Wedding Dates,98,6.0,$46.01M
Andi Mack,25,7.3,"1,542"
A Rainy Day in New York,92,,
The Waterboy,90,6.1,$161.49M
The Change-Up,112,6.3,$37.08M
Tangled,100,7.8,$200.82M
The School of Rock,109,7.1,$81.26M
Malèna,108,7.5,$3.43M
King of the Hill,30,7.3,"42,152"
The Duff,101,6.5,$34.02M
The Edge of Seventeen,104,7.3,$14.26M
White Gold,30,7.4,"6,978"
Inside No. 9,30,8.4,"8,602"
Scooby-Doo,86,5.0,$153.29M
Yuk po tuen: Tau ching bo gam,99,5.7,$0.40M
The Man Who Killed Don Quixote,132,6.5,$0.39M
Jerry Maguire,139,7.3,$153.95M
Old School,88,7.1,$75.59M
Knocked Up,129,7.0,$148.73M
Bring It On,98,6.0,$68.38M
There Was a Crooked Man...,126,7.0,"3,554"
The Mindy Project,30,7.4,"26,860"
Free Guy,,,
Idiocracy,84,6.6,$0.44M
Casper,100,6.1,$100.33M
Dirk Gently's Holistic Detective Agency,60,8.3,"35,319"
The Man from U.N.C.L.E.,116,7.3,$45.45M
Despicable Me 3,89,6.3,$264.62M
Austin Powers: International Man of Mystery,94,7.0,$53.88M
Scoob,,,
Shrek,90,7.9,$267.67M
Only Lovers Left Alive,123,7.3,$1.88M
A Million Little Things,43,7.9,"5,240"
The Truman Show,103,8.1,$125.62M
Galaxy Quest,102,7.3,$71.58M
The Extraordinary Journey of the Fakir,92,6.9,"4,121"
Bonding,107,7.3,"7,354"
Horrible Bosses,98,6.9,$117.54M
The Parent Trap,128,6.5,$66.31M
Death at a Funeral,90,7.4,$8.58M
Almost Famous,122,7.9,$32.53M
Summer Rental,87,6.3,$24.69M
Doc Martin,46,8.3,"10,159"
The Disaster Artist,104,7.4,$21.12M
Brittany Runs a Marathon,103,5.9,165
"Lock, Stock and Two Smoking Barrels",107,8.2,$3.90M
The Big Sick,120,7.6,$42.87M
Grosse Pointe Blank,107,7.4,$28.01M
Wings,30,7.3,"9,423"
Grown-ish,22,6.4,"2,832"
On My Block,30,8.1,"6,758"
The Grand Tour,60,8.7,"54,668"
Take Me Home Tonight,97,6.3,$6.92M
Death at a Funeral,92,5.7,$42.74M
Roseanne,21,7.0,"37,490"
Logan Lucky,118,7.0,$27.78M
The Men Who Stare at Goats,94,6.2,$32.42M
Hairspray,117,6.7,$118.87M
A League of Their Own,128,7.2,$107.53M
The Emperor's New Groove,78,7.4,$89.30M
Keanu,100,6.3,$20.57M
True Lies,141,7.2,$146.28M
The Witches,,,
The Rocky Horror Picture Show,100,7.4,$139.88M
Silver Linings Playbook,122,7.7,$132.09M
Mars Attacks!,106,6.3,$37.77M
A Dog's Purpose,100,7.1,$64.51M
Hunter x Hunter,24,8.7,"35,912"
Piranha 3D,88,5.4,$25.00M
Keeping Up with the Joneses,105,5.9,$14.90M
The Durrells,46,8.1,"5,160"
Derry Girls,30,8.3,"8,342"
Sausage Party,89,6.2,$97.66M
One Piece: Wan pîsu,24,8.6,"56,581"
There's Something About Mary,119,7.1,$176.48M
Jojo Rabbit,,,
Little Italy,102,5.7,$0.99M
Ramy,30,8.0,"1,650"
Shameless,90,8.0,"13,281"
As Good as It Gets,139,7.7,$148.48M
PEN15,30,7.9,"2,324"
Uncle Buck,100,7.0,$66.76M
Insatiable,45,6.6,"16,402"
Small Soldiers,108,6.2,$54.68M
Horrible Histories: The Movie,,,
The Old Man & the Gun,93,6.8,$11.28M
Kindergarten Cop,111,6.1,$91.46M
Ace Ventura: Pet Detective,86,6.9,$72.22M
American Housewife,30,7.4,"5,855"
The Happytime Murders,91,5.3,$20.71M
The Emoji Movie,86,3.2,$86.09M
Cuckoo,30,7.3,"6,447"
The Descendants,115,7.3,$82.58M
Amélie,122,8.3,$33.23M
The Inbetweeners,25,8.3,"72,525"
The Death of Stalin,107,7.2,$8.04M
My Name Is Earl,22,7.8,"91,435"
50 First Dates,99,6.8,$120.91M
Eighth Grade,93,7.5,$13.54M
Brave,93,7.1,$237.28M
Saving Mr. Banks,125,7.5,$83.30M
The Last Man on Earth,22,7.4,"48,570"
Saved by the Bell,30,7.1,"28,821"
Cars 3,102,6.8,$152.90M
National Lampoon's Animal House,109,7.5,$0.20M
Bill & Ted's Bogus Journey,93,6.3,$38.04M
The Other Guys,107,6.7,$119.22M
Fear and Loathing in Las Vegas,118,7.7,$10.68M
"Love, Rosie",102,7.2,$0.01M
Rock of Ages,123,5.9,$38.52M
90210,60,6.1,"40,491"
A Bug's Life,95,7.2,$162.80M
Naruto: Shippûden,24,8.4,"65,896"
Uncle Drew,103,5.7,$42.47M
Space Jam,88,6.4,$90.46M
Scary Movie,88,6.2,$157.02M
Step Brothers,98,6.9,$100.47M
Fubar,85,5.0,163
This Is the End,107,6.6,$101.47M
Morning Glory,107,6.5,$31.01M
Gosford Park,131,7.3,$41.31M
Home Alone,103,7.5,$285.76M
Pineapple Express,111,7.0,$87.34M
Love & Other Drugs,112,6.7,$32.37M
The Addams Family,99,6.9,$113.50M
She's Out of My League,104,6.4,$31.58M
Seed of Chucky,87,4.9,$17.08M
Don Jon,90,6.6,$24.48M
"Honey, I Shrunk the Kids",93,6.3,$130.72M
Gilmore Girls: A Year in the Life,90,7.8,"24,154"
American Graffiti,110,7.5,$115.00M
Summer School,97,6.6,$35.66M
Madagascar: Escape 2 Africa,89,6.7,$180.01M
Finding Dory,97,7.3,$486.30M
Striptease,115,4.4,$33.11M
Empire Records,90,6.7,$0.30M
Parenthood,124,7.0,$100.05M
"Where'd You Go, Bernadette",,,
Life with Father,118,7.3,"4,205"
"Sabrina, the Teenage Witch",22,6.7,"31,059"
Steel Magnolias,117,7.3,$83.76M
The Proposal,108,6.7,$163.96M
Better Things,22,7.7,"9,463"
Big Hero 6,102,7.8,$222.53M
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,95,8.4,$0.28M
Limitless,42,7.8,"56,482"
The Lego Movie,100,7.8,$257.76M
2 Broke Girls,22,6.7,"84,996"
Coming to America,116,7.0,$128.15M
The French Dispatch,,,
Gremlins,106,7.3,$148.17M
Fletch,98,6.9,$50.61M
Spy,119,7.0,$110.83M
The Spectacular Now,95,7.1,$6.85M
Vacation,99,6.1,$58.88M
Descendants,112,6.4,"12,141"
Spies in Disguise,,,
RED 2,116,6.6,$53.26M
The Farewell,98,6.8,283
Ted,106,6.9,$218.82M
Nanatsu no taizai,24,8.2,"13,271"
DuckTales,21,8.2,"4,029"
The Graduate,106,8.0,$104.95M
The Princess and the Frog,97,7.1,$104.40M
Paul,104,7.0,$37.41M
Palm Springs Weekend,100,6.0,727
Mr. & Mrs. Smith,120,6.5,$186.34M
The Little Rascals,82,6.3,$51.76M
The World's End,109,7.0,$26.00M
Mum,30,8.2,"1,566"
Tully,95,7.0,$9.23M
UglyDolls,87,4.5,$20.10M
The Wedding Singer,100,6.8,$80.25M
Monty Python and the Holy Grail,91,8.3,$1.23M
Just Friends,96,6.2,$32.62M
The Love Boat,60,6.1,"7,725"
Paterson,118,7.4,$2.14M
Holes,117,7.0,$67.41M
Pitch Perfect 3,93,5.8,$104.90M
Son in Law,95,5.8,$36.45M
Inherent Vice,148,6.7,$8.11M
Catastrophe,24,8.2,"12,696"
Shake It Up,30,4.9,"10,362"
Only Fools and Horses....,95,8.9,"41,177"
Rough Night,101,5.2,$22.06M
Raven's Home,22,7.7,"1,800"
In Bruges,107,7.9,$7.76M
The House with a Clock in Its Walls,105,6.0,$68.55M
Hannah Montana,23,5.0,"33,834"
Kick-Ass 2,103,6.6,$28.80M
Teenage Mutant Ninja Turtles,93,6.8,$135.27M
Austin Powers: The Spy Who Shagged Me,95,6.6,$206.04M
Midnight in Paris,94,7.7,$56.82M
Irma la Douce,147,7.4,$25.25M
Why Him?,111,6.2,$60.27M
Chicago,113,7.2,$170.69M
Drunk Parents,97,3.6,"1,997"
Misfits,60,8.2,"86,866"
Magic Mike,110,6.1,$113.72M
Gake no ue no Ponyo,101,7.7,$15.09M
Love,50,7.7,"31,838"
Dark Shadows,113,6.2,$79.73M
Dumb and Dumber,107,7.3,$127.18M
"Game Over, Man!",101,5.4,"21,582"
Tacoma FD,30,7.9,"1,127"
The Little Hours,90,5.8,$1.65M
Gilligan's Island,30,7.4,"11,268"
Into the Woods,125,6.0,$128.00M
Master of None,30,8.3,"57,403"
Friday,91,7.3,$27.47M
EuroTrip,92,6.6,$17.72M
Friday Night Dinner,24,8.1,"9,283"
Now Apocalypse,30,6.2,"1,854"
Wet Hot American Summer,97,6.7,$0.29M
Bugsy Malone,93,6.9,$2.78M
Miranda,30,8.1,"11,011"
The 'Burbs,101,6.9,$36.60M
Click,107,6.4,$137.36M
How to Train Your Dragon 2,102,7.8,$177.00M
Henry Danger,30,5.7,"2,346"
The Cat in the Hat,82,3.9,$101.15M
One Day at a Time,30,8.3,"9,854"
Ugly Betty,60,6.6,"37,660"
I Feel Pretty,110,5.4,$48.80M
Malibu Rescue,,5.0,367
American Princess,60,5.4,246
Dead Like Me,60,8.1,"38,090"
Moonrise Kingdom,94,7.8,$45.51M
Hall Pass,105,5.9,$45.06M
Batman,25,7.5,"16,820"
Happy Days,30,7.5,"14,314"
Kung fu,99,7.8,$17.11M
Notting Hill,124,7.1,$116.09M
"O Brother, Where Art Thou?",107,7.8,$45.51M
Cats,,,
The House Bunny,97,5.5,$48.24M
Masterminds,95,5.8,$17.36M
EverAfter,121,7.0,$65.71M
Stripes,106,6.9,$85.30M
The Princess Diaries,111,6.3,$108.25M
Kidding,30,7.9,"9,859"
Bad Boys,119,6.9,$65.81M
God Friended Me,43,6.9,"4,704"
Miracle Workers,30,7.0,"3,867"
The Secret Life of Walter Mitty,114,7.3,$58.24M
The Unauthorized Bash Brothers Experience,30,7.1,"2,314"
Party Down,30,8.3,"25,816"
Madagascar,86,6.9,$193.60M
Whisky Galore!,80,7.3,"4,489"
Guava Island,55,6.8,"5,869"
Pixels,105,5.6,$78.75M
All That,30,6.9,41
No Strings Attached,108,6.2,$70.66M
Now You See Me 2,129,6.5,$65.08M
Amphibia,,8.4,143
The Ugly Truth,96,6.4,$88.92M
On Becoming a God in Central Florida,,,
Cry-Baby,85,6.5,$8.27M
The Intern,121,7.1,$75.76M
Bewitched,25,7.6,"14,640"
Burnt,101,6.6,$13.65M
Big,104,7.3,$114.97M
Hitch,118,6.6,$179.50M
Shrek 2,93,7.2,$436.47M
According to Jim,30,6.4,"32,320"
Kevin Can Wait,30,5.7,"7,765"
Toast of London,30,8.2,"4,328"
Little Miss Sunshine,101,7.8,$59.89M
The Dictator,83,6.4,$59.65M
Last Week Tonight with John Oliver,30,8.9,"68,313"
Spy Kids,88,5.5,$112.72M
Trainwreck,125,6.2,$110.21M
13 Going on 30,98,6.2,$57.23M
Peep Show,25,8.6,"46,108"
Pride and Prejudice and Zombies,108,5.8,$10.91M
